race," user_view_count"," panel_count"," percent_demographic"
White,"92","1995","4.5"
Two or more races,"2","61","3.1"
Hispanic or Latino,"2","116","1.7"
Black or African-American,"3","190","1.5"
Asian or Asian-American,"1","113","0.9"
Native American,"0","16","0"
Middle Eastern,"0","8","0"
